Grid_x,Grid_y,Office,Fort Carson,COS East / Airport,COS,USAFA,Monument & North,Northeast,Woodland Park,Pueblo,Fountain,Pinon Canyon Maneuver Site,Midpoint,Corners
129,35,BMX,0,0,0,0,0,0,0,0,0,0,"[-339.9769898, 129.2540928]","[[-85.0066266, 32.3317112], [-85.00859960000001, 32.3091308], [-84.9818709, 32.3074606], [-84.97989270000001, 32.3300408], [-85.0066266, 32.3317112]]"
130,32,BMX,0,0,0,0,0,0,0,0,0,0,"[-339.89385150000004, 128.9763339]","[[-84.9858291, 32.2622822], [-84.98780570000001, 32.2396908], [-84.9610992, 32.238017299999996], [-84.9591175, 32.2606085], [-84.9858291, 32.2622822]]"
130,33,BMX,0,0,0,0,0,0,0,0,0,0,"[-339.88593299999997, 129.0667008]","[[-84.9838517, 32.284874], [-84.9858291, 32.2622828], [-84.9591174, 32.260609], [-84.95713479999999, 32.2832], [-84.9838517, 32.284874]]"
130,34,BMX,0,0,0,0,0,0,0,0,0,0,"[-339.8780108, 129.1570673]","[[-84.9818733, 32.3074657], [-84.98385160000001, 32.2848746], [-84.95713470000001, 32.2832006], [-84.95515120000002, 32.3057915], [-84.9818733, 32.3074657]]"
130,35,BMX,0,0,0,0,0,0,0,0,0,0,"[-339.8700892, 129.24740050000003]","[[-84.9798956, 32.330041], [-84.9818738, 32.3074608], [-84.95515160000001, 32.305786600000005], [-84.95316820000001, 32.3283665], [-84.9798956, 32.330041]]"
131,32,BMX,0,0,0,0,0,0,0,0,0,0,"[-339.7869836, 128.9696238]","[[-84.9591133, 32.2606082], [-84.9610951, 32.2380171], [-84.9343811, 32.2363386], [-84.9323941, 32.2589295], [-84.9591133, 32.2606082]]"
131,33,BMX,0,0,0,0,0,0,0,0,0,0,"[-339.779044, 129.0599895]","[[-84.9571306, 32.2831998], [-84.9591133, 32.2606087], [-84.932394, 32.25893], [-84.9304061, 32.2815208], [-84.9571306, 32.2831998]]"
131,34,BMX,0,0,0,0,0,0,0,0,0,0,"[-339.771101, 129.15035490000002]","[[-84.955147, 32.3057912], [-84.9571306, 32.283200300000004], [-84.9304061, 32.2815213], [-84.92841729999999, 32.304112], [-84.955147, 32.3057912]]"
62,34,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.93764208, 39.15747194000001]","[[-104.9498409, 39.1656478], [-104.9477499, 39.1435911], [-104.9193468, 39.145208100000005], [-104.9214319, 39.167264900000006], [-104.9498409, 39.1656478]]"
62,35,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.93973082, 39.17952262]","[[-104.9519322, 39.1876958], [-104.9498407, 39.1656457], [-104.9214317, 39.167262799999996], [-104.9235173, 39.189313], [-104.9519322, 39.1876958]]"
